Data Medicao;PRECIPITACAO TOTAL;TEMPERATURA MAXIMA MEDIA;TEMPERATURA MEDIA COMPENSADA;TEMPERATURA MINIMA MEDIA;UMIDADE RELATIVA DO AR;CASOS DENGUE
2016-01-31;433;31;25;20;76;666
2016-02-29;368;30;24;21;81;1213
2016-03-31;101;31;24;19;72;1622
2016-04-30;80;31;24;19;64;1246
2016-05-31;288;23;18;64516;56452;334
2016-06-30;120;22;15;11;77;37
2016-07-31;33;26;17;11;69;17
2016-08-31;123;948387;274839;612903;572581;17
2016-09-30;53;28;20;13;65;3
2016-10-31;189;29;22;16;69;16
2016-11-30;91;133333;106667;573333;441667;15
2016-12-31;177;30;24;20;74;6
2017-01-31;200;729032;696774;825806;177419;11
2017-02-28;129;678571;132857;45;821429;8
2017-03-31;117;30;24;19;73;3
2017-04-30;166;28;21;16;77;4
2017-05-31;254;767742;378065;432258;766129;4
2017-06-30;97;24;17;13;81;1
2017-07-31;0;322581;396129;496774;903226;3
2017-08-31;112;27;19;14;70;1
2017-09-30;14;32;24;17;57;3
2017-10-31;366;29;22;17;75;14
2017-11-30;242;29;23;17;75;11
2017-12-31;273;4;926452;651613;72581;7
2018-01-31;375;29;24;20;81;4
2018-02-28;116;30;24;19;75;4
2018-03-31;233;31;25;21;78;7
2018-04-30;20;30;23;18;72;1
2018-05-31;34;27;20;14;72;3
2018-06-30;29;25;19;14;78;
2018-07-31;1;28;19;13;66;1
2018-08-31;227;25;17;12;74;3
2018-09-30;135;28;21;15;71;2
2018-10-31;268;29;22;17;76;11
2018-11-30;124;30;24;18;69;12
2018-12-31;52;32;26;21;435484;17
2019-01-31;null;296296;924444;718519;138889;104
2019-02-28;187;31;25;20;74;500
2019-03-31;172;31;24;20;76;514
2019-04-30;28;30;23;19;78;714
2019-05-31;100;27;21;17;112903;963
2019-06-30;105;26;19;14;75;410
2019-07-31;65;25;18;12;67;109
2019-08-31;0;432258;174194;709677;548387;55
2019-09-30;46;31;573333;653333;2;25
2019-10-31;99;33;25;19;57;16
2019-11-30;167;31;25;19;65;83
2019-12-31;296;30;24;20;72;212
2020-01-31;null;718519;256296;614815;;1759
2020-02-29;151;30;24;20;74;5673
2020-03-31;86;31;24;19;63;10244
2020-04-30;33;29;22;16;61;10046
2020-05-31;48;26;18;13;66;7422
2020-06-30;105;25;19;15;78;5575
2020-07-31;8;26;19;13;68;1794
2020-08-31;191;25;19;13;66;201
2020-09-30;6;33;25;18;52;177
2020-10-31;50;32;25;19;57;249
2020-11-30;86;null;null;;;408
2020-12-31;153;31;24;20;73;759
