Data Medicao;PRECIPITACAO TOTAL;TEMPERATURA MAXIMA MEDIA;TEMPERATURA MEDIA COMPENSADA;TEMPERATURA MINIMA MEDIA;UMIDADE RELATIVA DO AR
2017-01-31;402.1;31.858065;26.868387;23.990323;81.943548
2017-02-28;257.4;30.962963;26.787692;24.467857;82.660714
2017-03-31;270;31.416667;27.023333;24.496774;83.158333
2017-04-30;338.4;31.773333;27.232;24.603333;83.525
2017-05-31;135.8;33.1;28.410968;25.548387;77.532258
2017-06-30;126.5;32.75;28.386;25.446667;75.766667
2017-07-31;75.7;32.783871;28.259355;24.774194;69.290323
2017-08-31;20.1;35.446667;30.114;26.251613;63.283333
2017-09-30;166.4;33.931034;28.870345;25.68;73.655172
2017-10-31;148.1;33.416129;28.646667;25.225806;74.193548
2017-11-30;195.7;33.276667;28.566207;25.717241;77.483333
2017-12-31;512.8;31.454839;27.234194;24.883871;84.145161
2018-01-31;215.3;31.919355;26.832903;24.248387;83.346774
2018-02-28;331.4;32.117857;27.169286;24.582143;79.625
2018-03-31;242.9;32.396774;27.596;24.948387;80.540323
2018-04-30;280.8;31.7;26.904667;24.35;84
2018-05-31;179.4;31.864516;27.063871;24.474194;83.645161
2018-06-30;188.6;32.385185;27.731111;24.596667;75.396552
2018-07-31;54.1;33.535484;28.285161;24.767742;70.870968
2018-08-31;19.5;34.332258;28.996129;25.041935;68.322581
2018-09-30;80.8;34.893333;29.652667;25.89;67.316667
2018-10-31;56.7;35.803226;30.474194;26.603226;65.435484
2018-11-30;148.4;33.865517;28.757931;25.93;76.166667
2018-12-31;349.7;30.96129;26.563226;24.029032;83.895161
